#MSM,Aba-Sah Dadzie(9),Milan Stankovic(8),Matthew Rowe 0001(7),Amparo Elizabeth Cano Basave(4),Giuseppe Rizzo 0002(3),Markus Strohmaier(3),Andrea Varga(3),Zhemin Zhu(2),Amparo Elizabeth Cano(2),Mena B. Habib(2)
NAFIPS/WConSC,M. H. Fazel Zarandi(13),Oscar Castillo 0001(7),Vladik Kreinovich(7),Olga Kosheleva(5),Mosahar Tarimoradi(4),Patricia Melin(4),Yurilev Chalco-Cano(4),Luciano Stefanini(4),I. Burhan Türksen(4),Regivan H. N. Santiago(3)
NAI@SIGCOMM,Sabine Randriamasy(2),Luis M. Contreras(2),Zhi-Li Zhang(2),Yuichiro Hei(1),Christian Esteve Rothenberg(1),Pietro Bressana(1),Wei Jiang(1),Sandip Chakraborty(1),Robert Soulé(1),Y. Richard Yang(1)
NANOARCH,Weisheng Zhao(29),Csaba Andras Moritz(28),Mostafizur Rahman(21),Fabrizio Lombardi(21),Youguang Zhang(15),Jacques-Olivier Klein(15),Christof Teuscher(14),Jie Han 0001(14),Damien Querlioz(14),Santosh Khasanvis(14)
NAPAW,Shoji Yuen(1),Bard Bloom(1),Patrice Brémond-Grégoire(1),Paul C. Brown(1),Jos C. M. Baeten(1),Frank S. de Boer(1),Ugo Montanari(1),Fredrik Orava(1),Insup Lee(1),Zvi Schreiber(1)
NATO ASI DPD,Edsger W. Dijkstra(8),Manfred Broy(2),Fred B. Schneider(2),Orna Grumberg(1),David E. Long(1),C. A. R. Hoare(1),Simon J. Gay(1),Samson Abramsky(1),Alain J. Martin(1),Stephan Merz(1)
NATO ASI Mining Massive Data Sets for Security,Ralf Steinberger(3),Clive Best(2),David J. Hand(2),Domenico Perrotta(2),Jakub Piskorski(2),Françoise Fogelman-Soulié(2),Karina Zapien Arreola(1),Ronen Feldman(1),Pinar Wennerberg(1),Georges Hébrail(1)
NCA,Emmanuelle Anceaume(12),Miguel Correia 0001(11),Luís E. T. Rodrigues(11),Albert Y. Zomaya(11),Shlomi Dolev(11),Dimiter R. Avresky(10),Benoît Garbinato(10),Lester Lipsky(9),Chryssis Georgiou(9),Bruno Sericola(9)
NCM,Chung-Hsin Liu(12),Hsing-Chung Chen(7),Allen Y. Chang(7),Hoon-Jae Lee 0001(6),Tai-Myoung Chung(6),Xiaoping Li(6),Inwhee Joe(6),Dong Ryeol Shin(6),Dwen-Ren Tsai(5),Tae-Woong Jung(5)
NCM (1),Dong Ryeol Shin(8),Xinming Zhang 0001(6),Hyeong-Ok Lee(4),Jong Sou Park(3),Jung-hyun Seo(3),Moon-Suk Jang(3),Kee-Hyun Choi(3),SangBum Kim(2),Doo Seop Eom(2),Enbo Wang(2)
NCPW,John A. Bullinaria(5),Robert M. French(5),David Glasspool(3),Mike Page(3),Jacques P. Sougné(3),Domenico Parisi(2),Maartje E. J. Raijmakers(2),Will Lowe(2),Joseph P. Levy(2),George Houghton(2)
NCS,Gilbert L. Peterson(3),Letha Etzkorn(3),Kim-Kwang Raymond Choo(3),Thomas H. Morris(3),Hossain Shahriar(3),Dan J. Kim(3),Peter A. H. Peterson(2),Vahid Heydari(2),Garrett S. Rose(2),Ezhil Kalaimannan(2)
NDM@SC,Mehmet Balman(5),Brian L. Tierney(3),Surendra Byna(3),Brian Tierney(3),Eric Pouyoul(3),Nathan Hanford(2),Matthew K. Farrens(2),Tevfik Kosar(2),Vishal Ahuja(2),Dipak Ghosal(2)
NDSS,Wenke Lee(20),Giovanni Vigna(19),Christopher Kruegel(17),XiaoFeng Wang 0001(16),Xiangyu Zhang 0001(15),Thorsten Holz(14),Engin Kirda(13),Ahmad-Reza Sadeghi(13),Nikita Borisov(12),Heng Yin(12)
NDT (2),Noraziah Ahmad(4),Roslina Mohd Sidek(4),Péter Völgyesi(3),Rachid Benlamri(3),Adnan M. Al-Smadi(3),Ákos Lédeczi(2),Radoslav Fasuga(2),Othman M.-K. Alsmadi(2),Za'er Salim Abo-Hammour(2),El-Sayed M. El-Alfy(2)
NET-COOP,Eitan Altman(7),Konstantin Avrachenkov(4),Yezekael Hayel(3),José Niño-Mora(3),Andrey Garnaev(3),Michel Mandjes(2),Robert Shorten(2),Herwig Bruneel(2),Lorne Mason(2),Ben Strulo(2)
NETGAMES,Yutaka Ishibashi(13),Carsten Griwodz(10),Mark Claypool(9),Wu-chang Feng(9),Kuan-Ta Chen(8),Pål Halvorsen(8),Grenville J. Armitage(8),Bettina Kemme(7),Tatsuhiro Yonekura(6),Alexandru Iosup(6)
NETWORKING,Guy Pujolle(11),George N. Rouskas(8),Harry G. Perros(8),Eitan Altman(8),Mario Gerla(6),André-Luc Beylot(5),Enrico Gregori(5),Herwig Bruneel(5),Marco Conti(5),Otto Carlos Muniz Bandeira Duarte(5)
NETWORKING Tutorials,Stefano Basagni(2),Giuseppe Anastasi(1),Refik Molva(1),Dieter Gantenbein(1),Massimiliano Lunghi(1),Fabrizio Davide(1),Francesco Vatalaro(1),Alain Pannetrat(1),Licia Capra(1),Wolfgang Emmerich(1)
NETWORKING Workshops,Enrico Gregori(2),Alberto Montresor(2),Giacomo Piccinelli(1),Florian Unterkircher(1),Hein Meling(1),Fabio Panzieri(1),Pedram Keyani(1),Kevin Schütt(1),Marc Ségura-Devillechaise(1),Thiemo Voigt(1)
NEWCAS,Mohamad Sawan(32),Yvon Savaria(25),Mounir Boukadoum(15),Sergio Bampi(15),Sylvain Bourdel(14),Benoit Gosselin(14),Zhihua Wang 0001(14),Frederic Nabki(13),Patricia Desgreys(12),Thierry Taris(12)
NEWS@ACM,Rafael E. Banchs(4),Haizhou Li 0001(4),A. Kumaran 0001(3),Xiangyu Duan(3),Min Zhang 0005(3),Xiaoman Pan(1),Einat Minkov(1),Anna Druzhkina(1),Joakim Nivre(1),Marta R. Costa-jussà(1)
NFM,Darren D. Cofer(5),Michael W. Whalen(4),Erika Ábrahám(4),Susmit Jha(4),Nils Jansen 0001(4),Vasumathi Raman(3),Natarajan Shankar(3),Andrew Gacek(3),Bernhard K. Aichernig(3),Armando Tacchella(3)
NFMCP,Zbigniew W. Ras(7),Corrado Loglisci(6),Elio Masciari(6),Saso Dzeroski(6),Michelangelo Ceci(6),Giuseppe Manco 0001(5),Annalisa Appice(5),Alicja A. Wieczorkowska(4),Donato Malerba(4),Stefano Ferilli(4)
NFMCP@PKDD/ECML,Zbigniew W. Ras(4),Mihaela Dînsoreanu(3),Alicja Wieczorkowska(3),Corrado Loglisci(3),Michelangelo Ceci(3),Stefano Ferilli(3),Rodica Potolea(3),Izabela Szczech(2),Elzbieta Kubera(2),Donato Malerba(2)
NGEBIS,Fabrizio Smith(2),Michele Missikoff(2),Vedran Hrgovcic(2),Cristina Cristalli(1),Benjamin Knoke(1),Domenico Potena(1),Matteo Piersantelli(1),Maurizio Proietti(1),Monika Wozniak(1),Dariusz Kralewski(1)
NGEBIS Short Papers,Fabrizio Smith(2),Michele Missikoff(2),Rahmi Volkan Basar(2),Francesco Taglino(2),Ali Anil Sinaci(2),Neil A. M. Maiden(1),Benjamin Knoke(1),Pau Crespí(1),Henk de Man(1),Fernando Gigante(1)
NGI,Markus Fiedler(6),António Grilo 0001(5),Paulo Rogério Pereira(5),Hermann de Meer(4),Paul Müller 0001(4),Patrick Maillé(4),Maurizio Naldi(4),Adrian Popescu 0002(4),Thomas Zinner(4),Phuoc Tran-Gia(3)
NGMAST,Khalid Al-Begain(15),Jaafar M. H. Elmirghani(10),Timo Koskela(6),Alhad Kuwadekar(6),Bilal R. Qazi(6),Chitra Balakrishna(5),Samya Bhattacharya(5),Víctor M. Ramos R.(4),Anitawati Mohd Lokman(4),Zhili Sun(4)
NII Shonan Meet. Rep.,Takayuki Itoh(3),Shin-Cheng Mu(2),Yoshio Tanaka(2),Hausi A. Müller(2),Yoshiki Kinoshita(2),David Nowak(2),Naoki Kobayashi 0001(2),Lorenza Mondada(2),Seok-Hee Hong(2),Vincent Oria(2)
NIME,Ajay Kapur(49),Marcelo M. Wanderley(43),Andrew P. McPherson(31),Georg Essl(28),Alexander Refsum Jensenius(27),Matthew Wright 0002(26),Michael Gurevich(20),Edgar Berdahl(20),Joseph A. Paradiso(19),Sergi Jordà(18)
NIP,Audun Jøsang(1),Magdalena Ivanovska(1)
NIPS Mini-Symposium on Causality in Time Series,Isabelle Guyon(2),Florin Popescu(2),Karim Chalak(1),Pedro A. Valdés-Sosa(1),Patrik O. Hoyer(1),Nadine Chlass(1),Alard Roebroeck(1),Alessio Moneta(1),Alexander R. Statnikov(1),Doris Entner(1)
NIST Handbook of Mathematical Functions,Frank W. J. Olver(5),Nico M. Temme(4),Roderick S. C. Wong(3),Richard A. Askey(3),Peter L. Walker(3),Ranjan Roy(3),Adri B. Olde Daalhuis(3),William P. Reinhardt(3),Tom M. Apostol(2),Hans Volkmer(2)
NL4SE@ESEC/SIGSOFT FSE,Mathias Ellmann(2),Adriana Mihaela Guran(1),Danielle Gonzalez(1),Kate M. Bowers(1),Marko Schnecke(1),Sergey Matskevich(1),Iftekhar Ahmed 0001(1),Yijun Yu(1),Xueqing Liu 0001(1),Erik M. Fredericks(1)
NLCS@ICALP/LICS,Valeria de Paiva(1),Gabriel Gaudreault(1),Lawrence S. Moss(1),Makoto Kanazawa(1),Oriol Valentín(1),Bruno Mery(1),Philippe de Groote(1),Sylvain Salvati(1),Glyn Morrill(1),Oleg Kiselyov(1)
NLDB,Elisabeth Métais(24),Vijayan Sugumaran(20),Rafael Muñoz 0001(17),Alexander F. Gelbukh(16),Paolo Rosso(15),Farid Meziane(15),Veda C. Storey(14),Manuel Palomar(13),Jon Atle Gulla(12),Andrés Montoyo(12)
NLG,Dietmar F. Rösner(3),Eduard H. Hovy(3),Oliviero Stock(2),Robert Dale(2),Yigal Arens(1),Kentaro Inui(1),Elisabeth Maier(1),Norbert Reithinger(1),Kathleen R. McKeown(1),Kathleen F. McCoy(1)
NLLP@KDD,Don Teo(1),Rajaa El Hamdani(1),Gerasimos Spanakis(1),Mauro Luzzatto(1),Moniba Keymanesh(1),Marco Lippi 0001(1),Dominic Seyler(1),Jason T. Lam(1),Francesca Lagioia(1),Wenhui Liao(1)
NLP-TEA@ACL/IJCNLP,Yuji Matsumoto 0001(3),Ping-Che Yang(2),Muthu Kumar Chandrasekaran(1),Hasan Kaya(1),Mukta Majumder(1),Michael Louie Boñon(1),Ralph Vincent J. Regalado(1),Jui-Feng Yeh(1),Wan-Ling Tsai(1),Andrea Horbach(1)
NLPAR@LPNMR,Chitta Baral(2),Vangelis Karkaletsis(1),Asad Abdul Malik(1),Christophe Onambélé Manga(1),Marcello Balduccini(1),Nikhil Dinesh(1),Georgios Petasis(1),Ralf Möller 0001(1),Asad Habib(1),Peter Schüller(1)
NLPCC/ICCPOL,Yansong Feng(9),Dongyan Zhao 0001(9),Chengqing Zong(7),Jiajun Zhang(5),Guodong Zhou(4),Yu Zhou 0001(4),Sujian Li(3),Xuanjing Huang(3),Qiaoming Zhu(3),Jianshe Zhou(3)
NLPCS,Michael Zock(6),Bernadette Sharp(4),Michael Carl(3),Arnt Lykke Jakobsen(3),Stergos D. Afantenos(2),Andrés Montoyo(2),Thiago Alexandre Salgueiro Pardo(2),Alexandra Balahur(2),Yongliang Ma(1),Takenobu Tokunaga(1)
NLPKE,Fuji Ren(56),Degen Huang(13),Tetsuya Tanioka(10),Xiaojie Wang(9),Jingbo Zhu(9),Lei Li(8),Yuko Yasuhara(8),Tingting He(8),Changqin Quan(7),Dongfeng Cai(7)
NLPRS,Hae-Chang Rim(4),Key-Sun Choi(4),Yuji Matsumoto 0001(4),Kazuhide Yamamoto(3),Yusuke Inutsuka(3),Kumiko Tanaka-Ishii(3),Sang-Zoo Lee(3),Sin-Jae Kang(3),Jun'ichi Tsujii(3),Jong-Hyeok Lee(3)
NLPXML@ACL,Max Froumentin(1),Ashwani Kumar(1),D. Terence Langendoen(1),Laurent Romary(1),Dominique Estival(1),Mark Chaudhary(1),Andrew Zschorn(1),Mary Ellen Foster(1),Peter Wittenburg(1),Erica Meena(1)
NLPXML@COLING,Holger Stenzhorn(1),Alexander Simov(1),Petter Karlström(1),Chieko Nakabasami(1),Renate Henschel(1),Eugene Koontz(1),Joseba Abaitua(1),Jan-Torsten Milde(1),Kiril Ivanov Simov(1),Claire Grover(1)
NLPXML@EACL,Jonathan Kilgour(2),Jean Carletta(2),Dietrich Rebholz-Schuhmann(1),Christoph Müller 0002(1),Tilman Becker(1),Valentin Jijkoun(1),Maik Stührenberg(1),Yvonne Samuelsson(1),Silvia Hansen-Schirra(1),Stefanie Dipper(1)
NMR,Torsten Schaub(5),Vladimir Lifschitz(4),James P. Delgrande(4),Guillermo Ricardo Simari(4),Donald Perlis(3),Thomas Andreas Meyer(3),Leila Amgoud(3),Marc Denecker(3),Sylvie Doutre(3),Jeffrey B. Remmel(3)
NORMAS,Harko Verhagen(3),Frank Dignum(3),Guido Boella(3),Leendert W. N. van der Torre(3),Huib Aldewereld(2),Munindar P. Singh(2),Gabriella Pigozzi(2),Carlos José Pereira de Lucena(2),Davide Grossi(2),Antonino Rotolo(2)
NOSSDAV,Jiangchuan Liu(17),Carsten Griwodz(15),Pål Halvorsen(14),Mark Claypool(11),Wu-chi Feng(9),Geoff Coulson(8),Henning Schulzrinne(8),Shervin Shirmohammadi(8),Ralf Steinmetz(8),Klara Nahrstedt(8)
NOTERE,Ludovic Apvrille(4),Isabelle M. Demeure(4),Marc Dalmau(3),Khalil Drira(3),Mohammed Erradi(3),Philippe Roose(3),Ismael Bouassida Rodriguez(3),Claudia Raibulet(3),Ahmed Serhrouchni(3),Nadège Pontisso(2)
NPC,Hai Jin 0001(28),Depei Qian(9),Ka Lok Man(9),Jian Cao(7),Limin Xiao(7),Nong Xiao(7),Guangwen Yang(6),Minglu Li 0001(6),Xuanhua Shi(6),Dan Feng 0001(6)
NSysS,A. B. M. Alim Al Islam(30),Ashikur Rahman(9),Md. Abdur Razzaque(7),Md. Yusuf Sarwar Uddin(7),Mahmuda Naznin(6),Novia Nurain(6),A. S. M Rizvi(4),Kazi Md. Rokibul Alam(4),Tusher Chakraborty(4),M. Sohel Rahman(4)
NSysS (2),A. B. M. Alim Al Islam(6),Alvi Md. Ishmam(4),Tarik Reza Toha(4),Shantanu Dutta(3),Amit Chakraborty(2),Md. Abdullah Al Maruf(2),Abdul Kawsar Tushar(2),Kazi Md. Rokibul Alam(2),Tahrina Tasnim(2),Yasuhiko Morimoto(2)
NTCIR,Noriko Kando(69),Tetsuya Sakai(42),Atsushi Fujii(29),Hitoshi Isahara(23),Tatsunori Mori(23),Hsin-Hsi Chen(22),Tomoyosi Akiba(20),Teruko Mitamura(20),Masaki Murata(20),Makoto Iwayama(20)
NUMTA (2),Yaroslav D. Sergeyev(4),Dmitri E. Kvasov(2),Vladimir I. Khandeev(2),Ivan E. Svetov(2),Marco Cococcioni(2),Victor Gergel(2),Alexander Kel'manov(2),Marat S. Mukhametzhanov(2),Agostino Lauria(2),Antonio Liotta(2)
NUT@COLING,Alan Ritter(2),Leon Derczynski(2),Wei Xu 0004(2),Bo Han 0002(2),Fatiha Sadat(2),Marlies van der Wees(1),Yu-Shian Chiu(1),Satoshi Sekine(1),Hui-I Hsiao(1),Mark Dredze(1)
NUT@EMNLP,Mark Dredze(3),Wei Xu 0004(2),Taro Miyazaki(2),Alan Ritter(2),Leon Derczynski(2),Jake Ryland Williams(2),Timothy Baldwin(2),Soumil Mandal(2),Tim Baldwin(2),Lisheng Fu(2)
NVMTS,Huaqiang Wu(6),Yimao Cai(5),Jing Pei(4),Ru Huang(4),Stephan Menzel(4),Zongwei Wang(4),Ning Deng(4),Yichen Fang(3),Thomas Mikolajick(3),Zhizhen Yu(3)
NaBIC,Ajith Abraham(52),Václav Snásel(16),Bijaya K. Panigrahi(14),Millie Pant(12),Nelishia Pillay(12),Oscar Castillo 0001(9),Ganapati Panda(9),Jan Platos(9),Pavel Krömer(8),Amit Konar(8)
NaNA,Jianfeng Ma 0001(18),Zhenqiang Wu(17),Yulong Shen(15),Bin Yang 0010(14),Xiaohong Jiang(14),Yong Zeng 0002(12),Zhihong Liu(12),Hai Liu(11),Zhongmin Wang(9),Lisheng Ma(9)
Nachrichten Dok.,Rainer Heege(1),Veronika Oechtering(1),Armin B. Cremers(1)
Naming and Addressing for Next-Generation Internetworks,Lars Eggert(3),Andrei V. Gurtov(3),Thomas R. Henderson(3),Bengt Ahlgren(2),Anja Feldmann(2),Christian Dannewitz(1)
Nat. Lang. Eng.,Robert Dale(27),Kenneth Ward Church(12),Ruslan Mitkov(10),Rada Mihalcea(7),Geoffrey Sampson(7),Shuly Wintner(7),Chris Mellish(6),John Tait(6),Branimir Boguraev(6),Yorick Wilks(6)
NatuReS,Enrique Alba(1),José Francisco Aldana Montes(1),Emil St. Chifu(1),Stefan Schlobach(1),Viorel Milea(1),Christophe Guéret(1),Peyman Nasirifard(1),Ioan Alfred Letia(1),Pascal Hitzler(1),Jorge Martínez Gil(1)
Natural Computing in Computational Finance,Michael O'Neill 0001(3),Anthony Brabazon(3),David Edelman(2),Kerem Senel(1),Edward P. K. Tsang(1),Ken Sharman(1),Pawel Hajto(1),Dietmar Maringer(1),Ronald Hochreiter(1),Célia da Costa Pereira(1)
Natural Computing in Computational Finance (4),Dietmar Maringer(2),Michael O'Neill 0001(2),Alexandros Agapitos(2),Anthony Brabazon(2),Shu-Heng Chen(2),Edward P. K. Tsang(1),Yi-Ping Huang(1),Piotr Lipinski(1),Nikos S. Thomaidis(1),Enrico Schumann(1)
Natural Intelligence for Scheduling, Planning and Packing Problems,Ajoy Kumar Palit(1),Ivo Pereira(1),Walter Anheier(1),Maksud Ibrahimov(1),S. M. Kamrul Hasan(1),Christian Gorldt(1),Walter D. Potter(1),Dobrivoje Popovic(1),Ana Madureira(1),Mansour Eddaly(1)
Natural Language Generation in Interactive Systems,Emiel Krahmer(1),Julian Hough(1),Anja Belz(1),Verena Rieser(1),Nina Dethlefs(1),David DeVault(1),Nate Blaylock(1),Shari R. Speer(1),Kiwako Ito(1),Oliver Lemon(1)
Natural Language Understanding and Natural Language Understanding Workshop,Koichi Furukawa(1),Jacques Virbel(1),Célestin Sedobgo(1),Paul Sabatier(1),Sophie Robin(1),Patrick Saint-Dizier(1),Said Soulhi(1),Hozumi Tanaka(1),Michael Hess 0001(1),Yuji Matsumoto 0001(1)
Nature's Principles,Jan Faye(2),Max Kistler(1),Lars-Göran Johansson(1),Max P. Urchs(1),Paul Needham(1),Uwe Scheffler(1),Werner Stelzner(1),Uwe Meixner(1),Geert Keil(1),Johannes Persson(1)
Nature-Inspired Computation in Data Mining and Machine Learning,Abir Hussain(3),Dhiya Al-Jumeily(3),Mohamed Alloghani(3),Ahmed J. Aljaaf(3),Thar Baker(2),Jamila Mustafina(2),Sukanya Manna(1),Shruti Kohli(1),Bighnaraj Naik(1),M. Anand Kumar(1)
Net.ObjectDays,Jarle Hulaas(1),Elena Paslaru Bontas(1),Schahram Dustdar(1),Bernd Freisleben(1),Mathias Weske(1),Falk Langhammer(1),Matthias Riebisch(1),Martin Rohde(1),Alvaro Cabrerizo(1),Robert Tolksdorf(1)
NetCompute@SIGCOMM,Gergely Pongrácz(1),Hans Giesen(1),Thomas Kohler 0001(1),Andreas J. Kassler(1),Klaus Wehrle(1),Nik Sultana(1),Leandro Pacheco de Sousa(1),John Sonchack(1),René Glebke(1),Theo Jepsen(1)
NetDB,Varun Khare(1),Xiaodan Wang(1),Felix Naumann(1),Andreas Terzis(1),Magdalena Balazinska(1),Nick Feamster(1),Boon Thau Loo(1),Tanya Bragin(1),Armin Roth 0001(1),Brian Cooper(1)
NetEcon@SIGCOMM,Yang Richard Yang(1),Joan Feigenbaum(1)
NetObjectDays,Bernd Freisleben(3),Dirk Muthig(2),Christian Heinlein(2),Marko Boger(1),Thomas Patzke(1),Martin Wirsing(1),Nora Koch(1),Stefan Böttcher(1),Per Fragemann(1),Ingo Melzer(1)
NetSci-X,Feida Zhu 0001(2),Boleslaw K. Szymanski(2),Jean Creusefond(1),Marijn ten Thij(1),Fredrik Erlandsson(1),Marco Conti(1),Sylvain Peyronnet(1),Xerxes D. Arsiwalla(1),Marcin Sydow(1),Sandjai Bhulai(1)
NetSoft,Holger Karl(15),Barbara Martini(9),James Won-Ki Hong(9),Roberto Riggio(9),Flavio Esposito(9),Manuel Peuster(9),Filip De Turck(8),Piero Castoldi(8),Fulvio Risso(7),Noël Crespi(7)
NetSys,Ralf Steinmetz(8),Max Mühlhäuser(6),David Hausheer(5),Kurt Rothermel(4),Kurt Geihs(4),Thorsten Strufe(4),Doreen Böhnstedt(4),The An Binh Nguyen(3),Georg Carle(3),Volker Turau(3)
NetWordS,Hélène Giraudo(3),Alessandro Lenci(2),Vito Pirrelli(2),Mila Vulchanova(2),Petar Milin(2),Sebastian Padó(2),Marcello Ferro(2),Francesca Pesciarelli(2),Cristina Cacciari(2),Claudia Marzi(2)
Nets4Cars/Nets4Trains,Marion Berbineau(8),Rashid Mehmood(7),Thomas Strang(5),Cristina Rico Garcia(4),Alexey V. Vinel(3),Axel Sikora(3),Mohamed Kassab(3),Christophe Gransart(3),Marina Aguado(2),Patrick Corlay(2)
Network Analysis,Katharina Anna Lehmann(3),Dagmar Tenfelde-Podehl(3),Thomas Erlebach(3),Dirk Koschützki(3),Ulrik Brandes(3),Leon Peeters(2),Oliver Zlotowski(2),Frank Kammer(1),Hanjo Täubig(1),Daniel Sawitzki(1)
Networked Embedded Systems,Stefan Dulman(2),Gianluca Cena(2),Antal Rajnak(2),Dirk Timmermann(2),Adriano Valenzano(2),Paul J. M. Havinga(2),Jan Blumenthal(2),Lucia Lo Bello(2),Emanuele Toscano(2),Guntram Scheible(1)
Networked Information Retrieval,Norbert Fuhr(2),Sarantos Kapidakis(1),Grace Crowder(1),Martin Doerr(1),Markus Dreger(1),Charles Nicolas(1),Christos Nikolaou(1),Paul Francis(1),Marc Rittberger(1),D. D. Velthausz(1)
Networking (2),Eitan Altman(6),Yuedong Xu(2),Amogh Dhamdhere(2),Piet Van Mieghem(2),Feng Wang 0001(2),Johan A. Pouwelse(2),Haiyang Wang(2),Majed Haddad(2),Constantine Dovrolis(2),Vicent Pla(2)
Networking in Open Systems,Günter Müller(2),Robert P. Blanc(2),Hans Eckert(1),Harry Rudin(1),Marc Boisseau(1),Robert J. Sundstrom(1),Berthold Butscher(1),Wilhelm F. Racke(1),Dennis K. Branstad(1),Thomas E. Schütt(1)
Networks in Distributed Computing,Marios Mavronicolas(2),Tal Anker(1),David L. Mills(1),Ornan Ori Gerstel(1),Dimitris Fotakis(1),Oleg M. Cheiner(1),Grammati E. Pantziou(1),Nir Shavit(1),Alexander A. Shvartsman(1),Kadangode K. Ramakrishnan(1)
NeuroImage,Karl J. Friston(184),Paul M. Thompson(131),Arthur W. Toga(125),Vince D. Calhoun(107),Bruce Fischl(95),Simon B. Eickhoff(90),Stephen M. Smith(82),Alan C. Evans(79),Dinggang Shen(75),Peter T. Fox(70)
Neuroinformatics,Giorgio A. Ascoli(35),David N. Kennedy(29),Erik De Schutter(22),Gordon M. Shepherd(17),Dinggang Shen(14),Hanchuan Peng(12),Stephen T. C. Wong(11),Perry L. Miller(10),Wieslaw L. Nowinski(9),Maryann E. Martone(9)
New Approaches in Intelligent Image Analysis,Roumen Kountchev(2),Petia D. Koprinkova-Hristova(1),Vladimir Kanchev(1),Volodymyr V. Kudriashov(1),Lakhmi C. Jain(1),Roumiana Kountcheva(1),Ferenc Emil Mózes(1),Mohamed I. Roushdy(1),Wael H. Khalifa(1),Rumen P. Mironov(1)
New Developments in Formal Languages and Applications,Maciej Koutny(1),Andrew Neel(1),Mark-Jan Nederhof(1),Francine Blanchet-Sadri(1),Thierry Lecroq(1),Giorgio Satta(1),Maxime Crochemore(1),Jetty Kleijn(1),Max H. Garzon(1),Carsten Damm(1)
New Developments in the Visualization and Processing of Tensor Fields,Bernhard Burgeth(3),David H. Laidlaw(3)
New Directions in Question Answering,Mark T. Maybury(5),Dragomir R. Radev(4),Diane J. Litman(3),Boris Katz(3),Claire Cardie(3),Janyce Wiebe(3),Theresa Wilson(3),Deborah L. McGuinness(3),Jimmy J. Lin(3),Andrew Latto(2)
New Horizons for a Data-Driven Economy,Edward Curry(8),Tilman Becker(5),Sonja Zillner(3),Ricard Munné(3),Sebnem Rusitschka(2),Martin Strohbach(2),Kazim Hussain(2),Helen Lippell(2),Walter Palmetshofer(2),Anja Jentzsch(2)
New Information Technologies in Organizational Processes,Ole Hanseth(2),Michael D. Myers(2),Allen S. Lee(2),Lucas D. Introna(2),Ojelanki K. Ngwenyama(2),Richard L. Baskerville(2),Heinz K. Klein(2),Christopher J. Hemingway(1),Graeme G. Shanks(1),Cathy Urquhart(1)
New Media Soc.,Steve Jones 0001(21),Nicholas W. Jankowski(17),David W. Park(13),Roger Silverstone(10),Leah A. Lievrouw(8),Sonia Livingstone(8),Ralph Schroeder(7),Lars Nyre(7),Homero Gil de Zúñiga(7),Louis Leung(7)
New Trends in Computer Networks,Özgür Erçetin(2),Kerem Bülbül(2),Tonguç Ünlüyurt(2),K. Kilic(2),Muhammed Salamah(2),O. Erhun Kundakcioglu(1),Robert L. R. Mattson(1),Kijoon Chae(1),Tae-Man Han(1),Coskun Çelik(1)
New Trends in Constraints,Francesca Rossi(3),Philippe Codognet(2),Krzysztof R. Apt(2),Eric Monfroy(2),Bart Demoen(1),Boi Faltings(1),Antonis C. Kakas(1),Kostas Stergiou 0001(1),Frédéric Goualard(1),Henk Vandecasteele(1)
New Trends in Data Warehousing and Data Analysis,Franck Ravat(2),Olivier Teste(2),Robson do Nascimento Fidalgo(1),Kesheng Wu(1),Leticia I. Gómez(1),Carlo Combi(1),Khaled Jouini(1),Giuseppe Pozzi(1),Rosine Cicchetti(1),Kamel Boukhalfa(1)
New Trends in Formal Languages,Arto Salomaa(3),Alexandru Mateescu(2),Henning Fernau(2),Markus Holzer 0001(2),Giancarlo Mauri(2),Victor Mitrana(2),Steve Gordon(1),Karl R. Abrahamson(1),Juraj Hromkovic(1),Mohamed Amin(1)
New Zealand Computer Science Research Students' Conference,Stuart Yeates(2),Simon McCallum(1),Aaron Roydhouse(1),Steven Mills(1),Jacky Baltes(1),Sasha Rubin(1),Yong Wang(1),Kevin Novins(1),Greg Reeve(1),Gordon W. Paynter(1)
News@ICWSM,Jisun An(2),Haewoon Kwak(2),Lucy X. Wang(1),Augustin Chaintreau(1),Arthi Ramachandran(1),Yu Wang 0041(1),Richard Niemi(1),Yuncheng Li(1),Jiebo Luo(1),Matthew J. Williams(1)
NewsIR@ECIR,David Corney(3),Dyaa Albakour(3),Miguel Martinez-Alvarez(3),Benno Stein 0001(3),Noriko Kando(2),Tim Gollub(2),Sérgio Nunes(2),José Luís Devezas(2),Matthias Hagen(2),Masaharu Yoshioka(2)
NextComp,Girish Bekaroo(4),Amar Seeam(3),Shivanand Guness(3),Adele Botha(2),Xavier J. A. Bellekens(2),Divesh Roopowa(2),Leckraj Nagowah(2),Maleika Heenaye-Mamode Khan(2),Aatish Chiniah(2),Yatindra Kumar Ramgolam(2)
NiM-ALP@MoDELS,Toqeer Israr(2),Gregor von Bochmann(2),André van Hoorn(1),Kenneth Johnson(1),José Merseguer(1),Vittorio Cortellessa(1),Tanja Mayerhofer(1),Philip Langer(1),Lars Grunske(1),Stanimir N. Pehlivanov(1)
Niemeyer,Stefan C. Kaufmann(1),Jirí Panyr(1),Siegfried Kunzmann(1),Marc Domenig(1),Herbert Bierfert(1),Magdalena Zoeppritz(1),Manfred Thiel(1),Nico Weber(1),Martin Volk 0001(1),Sven Naumann(1)
