#MSM,Aba-Sah Dadzie(9),Milan Stankovic(8),Matthew Rowe 0001(7),Amparo Elizabeth Cano Basave(4),Giuseppe Rizzo 0002(3),Markus Strohmaier(3),Andrea Varga(3),Zhemin Zhu(2),Amparo Elizabeth Cano(2),Mena B. Habib(2)
AAAI Spring Symposium: Benchmarking of Qualitative Spatial and Temporal Reasoning Systems,Stefan Wölfl 0001(4),Bernhard Nebel(2),Matthias Westphal(2),Gregory Kuhnmünch(1),Carl P. L. Schultz(1),Cui Jian(1),Hui Shi 0001(1),Robert Amor(1),Matteo Cristani(1),Zeno Gantner(1)
AAAI Spring Symposium: Combining Machine Learning with Knowledge Engineering,Knut Hinkelmann(4),Andreas Martin(3),Stephan Jüngling(2),Kewen Wang(1),Pratheek Mahishi(1),Xiao Lin(1),James Lambert(1),Marco Brambilla 0001(1),Jodi Schneider(1),Pouya Ghiasnezhad Omran(1)
AAAI Spring Symposium: Combining Machine Learning with Knowledge Engineering (1),Andreas Martin(3),Amit P. Sheth(2),Hans-Georg Fill(2),Knut Hinkelmann(2),Stephan Jüngling(2),Akinori Asahara(2),Hidekazu Morita(2),Alexandros Vassiliades(1),Miao Chen(1),Ryan Compton 0002(1)
AAAI Spring Symposium: Computational Approaches to Analyzing Weblogs,Gilad Mishne(3),John C. Henderson(2),Natalie S. Glance(2),Yutaka Matsuo(2),Maarten de Rijke(2),Matthew F. Hurst(2),Bing Liu 0001(2),Robert Malouf(2),I-Heng Mei(1),Preben Hansen(1)
AAAI Spring Symposium: Computational Physiology,Thomas Heldt(2),Sethuraman Panchanathan(2),Ankit J. Gordhandas(2),Rita Chattopadhyay(2),George C. Verghese(2),Bryan Haslam(1),James Yungjen Tung(1),H. Craig Heller(1),Shie Mannor(1),Doina Precup(1)
AAAI Spring Symposium: Data Driven Wellness,Ikuko Eguchi Yairi(3),Melanie Swan(2),Ryota Kanai(2),Keiki Takadama(2),Takashi Kido(2),Simon Parsons(1),Rui Pan(1),Kunihiro Nishimura(1),Yusuke Iwasawa(1),Ram Dantu(1)
AAAI Spring Symposium: Emotion, Personality, and Social Behavior,Christine L. Lisetti(4),Eva Hudlicka(4),Ian Horswill(3),Marilyn A. Walker(2),Marcello Balduccini(2),Antonio Chella(2),Shuichi Nishio(2),Rosamaria E. Barone(2),Juan D. Velásquez(2),Hiroshi Ishiguro(2)
AAAI Spring Symposium: Human Behavior Modeling,Alex Pentland(5),Tad Hogg(2),Anind K. Dey(1),Kay-Yut Chen(1),Taemie Kim(1),Danny Wyatt(1),Hung Hai Bui(1),Eric Yeh(1),Peter Kiefer(1),Negin Nejati(1)
AAAI Spring Symposium: Intentions in Intelligent Systems,Nicholas L. Cassimatis(1),Philip R. Cohen(1),Rajah Annamalai Subramanian(1),Karen L. Myers(1),Deb Roy(1),Sanjeev Kumar 0004(1),Robert E. Wray(1),Charles Rich(1),George Ferguson(1),Neil Yorke-Smith(1)
AAAI Spring Symposium: Interaction Challenges for Intelligent Assistants,Neil Yorke-Smith(3),Bart Peintner(2),Jing Jin(1),Patrick Ehlen(1),Yolanda Gil(1),Martha E. Pollack(1),Matt MacMahon(1),Brian Charles Williams(1),Rajiv T. Maheswaran(1),Kenneth Conley(1)
AAAI Spring Symposium: Interpretable AI for Well-being,Keiki Takadama(7),Akari Tobaru(3),Ryo Takano(2),Miwa Nishinaka(2),Iko Nakari(2),Takashi Kido(2),Yusuke Tajima(2),Umang Bhatt(1),Sadeq Rahimi(1),Toru Yabe(1)
AAAI Spring Symposium: It's All in the Timing,Cynthia Breazeal(2),Chrystopher L. Nehaniv(2),Karl Cheng-Heng Fua(1),Jonathan K. Alt(1),Klaus U. Schulz(1),Pinar Wennerberg(1),Richard Veale(1),Qiming Shen(1),Guy Hoffman(1),Hans Werner Guesgen(1)
AAAI Spring Symposium: Reasoning with Mental and External Diagrams: Computational Modeling and Spatial Assistance,Paul U. Lee(3),Alexander Klippel(2),Thomas Barkowsky(2),Christian Freksa(2),B. Chandrasekaran 0001(2),Mary Hegarty(2),Sara Irina Fabrikant(2),Ric K. Lowe(2),Verena Radoczky(1),Charles M. Eastman(1)
AAAI Spring Symposium: Self-Tracking and Collective Intelligence for Personal Wellness,Keiki Takadama(4),Takashi Kido(3),Eiji Aramaki(2),Rajiv T. Maheswaran(1),Melanie Swan(1),Kayo Waki(1),Julien Bonjour(1),Kazuhiko Ohe(1),Yukiko Shiki(1),Jason Loewy(1)
AAAI Spring Symposium: Semantic Web Meets eGovernment,Gregoris Mentzas(5),Andreas Abecker(4),Ljiljana Stojanovic(4),Knut Hinkelmann(3),Fabian Probst(2),Konstantinos A. Tarabanis(2),Dimitris Apostolou(2),Amit P. Sheth(2),Barbara Thönssen(2),Nenad Stojanovic(2)
AAAI Spring Symposium: Social Information Processing,Peter Pirolli(2),Kristina Lerman(2),Tad Hogg(2),Sihem Amer-Yahia(2),Bernardo A. Huberman(2),Steve Whittaker(1),Bryan A. Pendleton(1),Vladimir A. Kulyukin(1),Seong-Jae Song(1),Hong-Gee Kim(1)
AAAI Spring Symposium: Social Semantic Web: Where Web 2.0 Meets Web 3.0,Richard Reid(2),Peter Edwards(2),Simon Scerri(1),William H. Hsu(1),R. Mitra(1),James Mayfield(1),Vikas Bahirwani(1),Prashant Doshi(1),Nicholas Gibbins(1),Denny Vrandecic(1)
AAAI Spring Symposium: Technosocial Predictive Analytics,Antonio Sanfilippo(3),Victor Asal(2),William Ribarsky(2),Patrick Mackey(2),Pak Chung Wong(2),Roberto César Izaurralde(1),Xiaoyu Wang(1),Robert Kosara(1),R. Karl Rethemeyer(1),Mia Paget(1)
